,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0,0,0,0,0,26.54308,282.01152,36.21288,39.62112,0,80.67628,0,0,0,0,41.2114,12.7638,30.9708,0,112.07176,0,0,19.20289,0,0,46.34784,41.3,80.6472,0,0,0,0,0,0,30.66287,0,0,0,0,0,0,0,0,0,81.12324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32187,0,0,0,318.93342,0,72.87858,0,0,0,0,23.27235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.51333,0,115.85616,28.87219,0,0,0,0,0,0,0,0,0,13.19616,14.46912,0,16.67007,235.64736,14.47022,0,6.9525,53.0343,0,0,16.09272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5231,0,83.0844,56.28378,0,9.28608,0,0,0,8.05707,73.23008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,31.88016,189.81279,36.74808,41.8145,0,47.84618,0,0,0,0,64.523,13.21452,23.5788,0,96.86048,0,0,42.18125,0,0,0,53.43,81.1764,0,0,0,0,0,9.50736,10.06975,0,0,0,0,0,0,0,0,0,60.15312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.90036,0,0,0,267.9701,0,76.36368,0,0,0,0,25.00992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62132,0,53.68704,25.93982,0,0,0,0,0,0,0,0,0,7.61819,18.82587,0,12.20633,178.3488,13.37725,0,10.84634,50.31524,41.4924,0,11.48656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33885,0,187.326,69.6924,0,12.38895,0,0,0,22.83302,62.5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,27.46758,167.38449,42.16375,28.5108,0,88.6912,0,0,0,0,31.79297,9.9158,22.04106,0,137.65875,0,0,27.63314,0,0,0,48.6,49.4424,0,0,0,0,0,23.92864,24.5575,0,0,0,0,0,0,0,0,0,60.62214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.35734,0,0,0,237.3462,0,75.11296,0,0,0,0,53.69892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.14768,27.14764,0,0,0,0,0,0,0,0,0,10.30302,27.0066,0,12.852,171.78381,9.81801,0,8.52887,48.007,59.87142,0,15.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.97742,0,165.132,59.26365,0,9.9461,0,0,0,18.2508,59.68608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,295.45285,71.17566,64.95356,0,184.90016,0,0,0,0,46.01002,17.54372,21.29998,0,162.4875,0,0,21.05651,0,0,0,61.35,0,0,0,0,0,0,35.38668,0,0,0,0,0,0,0,0,0,0,70.34292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33553,0,0,0,396.89505,0,60.50937,0,0,0,0,16.80887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.41936,0,130.1973,47.56356,0,0,0,0,0,0,0,0,0,17.41068,26.81816,0,10.0477,236.4054,5.14899,0,4.46814,41.32568,64.092,0,6.96465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.81981,0,174.384,67.6431,0,12.43284,0,0,0,13.89024,78.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,20.95308,197.61673,106.73265,0,0,78.96928,0,0,0,0,43.59564,15.37808,21.3356,0,47.2275,0,0,0,0,0,0,53.3,198.5724,0,0,0,0,0,25.48375,0,0,0,0,0,0,0,0,0,0,77.29152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.35225,0,0,0,401.19655,0,64.62737,0,0,0,0,21.78298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.33584,49.82292,0,84.4587,0,0,0,0,0,0,0,15.37725,40.32128,0,14.9248,277.98984,11.64825,0,4.52598,43.16733,124.3221,0,9.3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3925,0,220.872,76.91355,0,13.9988,0,0,0,0,86.51104,0,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,19.6109,236.72736,44.93658,59.95808,0,84.1125,0,0,0,0,46.2371,14.89919,31.0156,0,40.34345,0,0,0,0,0,0,40.6,57.2508,0,0,0,0,0,0,52.10394,0,0,0,0,0,0,0,0,0,178.49244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.83061,0,0,0,231.63432,0,102.4072,0,0,0,0,16.83505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2304,33.6897,0,28.10491,0,0,0,0,0,0,0,17.18136,23.30628,0,11.72148,130.95408,10.74412,0,8.31726,35.78752,84.5376,0,9.9337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8062,0,160.2,48.35866,0,8.70267,0,0,0,12.12818,55.33368,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,26.28212,208.00136,37.38408,68.5971,0,61.63125,0,0,0,0,53.3727,21.29839,32.6216,0,105.23822,0,0,0,0,0,0,40.7,50.8356,0,0,0,0,0,5.46912,32.17872,0,0,0,0,0,0,0,0,0,35.99508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.24307,0,0,0,211.138,0,123.48256,0,0,0,0,17.01882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.35,35.8996,0,0,0,0,0,0,0,0,0,17.4064,22.78584,0,13.6474,40.4225,11.19258,0,11.06153,32.00722,96.6368,0,14.50944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8916,0,174.396,68.02785,3.392,8.95956,0,0,0,22.2708,82.46689,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,29.41596,147.66588,23.93954,55.5386,22.37625,78.55625,0,0,0,0,42.2313,18.64609,14.982,0,36.495,0,0,26.78778,0,0,0,24.66,68.346,0,0,0,0,0,0,11.24226,0,0,0,0,0,0,0,0,0,69.76128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.747,0,0,0,223.98669,0,109.57384,0,0,0,74.151,12.94202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.21524,43.00728,0,0,0,0,0,0,0,0,0,26.49258,26.2454,0,16.7214,104.76125,9.0936,0,4.2749,36.5241,151.32465,0,22.71698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.04524,0,177.924,58.5063,0,7.14596,0,0,0,16.45556,74.46724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,30.1224,233.74954,49.83064,39.18962,0,63.6375,0,0,0,0,41.42745,16.93486,49.7553,0,53.29875,0,0,51.81182,0,0,0,36.81,69.1128,0,0,0,0,0,0,11.0054,0,0,0,0,0,0,0,0,0,61.14768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06238,0,0,0,227.60115,0,82.97446,0,0,0,0,11.51982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7297,16.76268,0,31.56285,0,0,0,0,0,0,0,14.70898,21.66048,0,11.81888,149.435,3.00168,0,5.43368,19.125,71.89825,0,1.90944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.94426,0,126.528,57.06855,0,10.676,0,0,0,15.47629,63.02988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,17.03629,96.02474,50.52408,81.64604,0,79.85625,0,1.08138,0,0,54.77332,10.05894,35.1939,0,106.0425,0,0,12.41218,0,0,0,56.84,62.1972,0,0,0,0,0,0,8.19135,0,0,0,0,0,0,0,0,0,70.53686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.61724,0,0,0,246.36024,0,161.7364,0,0,0,58.05,14.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8395,31.5525,0,57.14306,0,0,0,0,0,0,0,14.16639,14.35355,0,11.24851,116.28068,7.7322,0,0,39.117,156.20148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.51199,0,122.04,50.45085,0,11.5149,0,0,0,18.46852,70.13669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0
